Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
BONE MARROW (BULK TISSUE)	2/2316	0.85144009698148881426504885894246399402618408203125	0.96820650614688819057818136570858769118785858154296875	0.717819891631243489626967857475392520427703857421875	0.8684734491340970752304428970091976225376129150390625	0.3554785946892494	-0.057170247160344835	MYC;CXCL14
CD34+ CELL	2/2316	0.85144009698148881426504885894246399402618408203125	0.96820650614688819057818136570858769118785858154296875	0.717819891631243489626967857475392520427703857421875	0.8684734491340970752304428970091976225376129150390625	0.39099369718054316	-0.0628820036983923	MYC;PIM1
RETINA	3/2316	0.64477783610606653752483907737769186496734619140625	0.96820650614688819057818136570858769118785858154296875	0.447938518860421186484899180868524126708507537841796875	0.67535345920494271876322045500273816287517547607421875	0.15833049312725475	-0.06948325167407025	BMPER;GPX3;HK2
BLYMPHOCYTE	2/2316	0.85144009698148881426504885894246399402618408203125	0.96820650614688819057818136570858769118785858154296875	0.717819891631243489626967857475392520427703857421875	0.8684734491340970752304428970091976225376129150390625	0.4446109501408449	-0.07150505906542164	IER5;NFKB1
PLACENTA (BULK)	3/2316	0.64477783610606653752483907737769186496734619140625	0.96820650614688819057818136570858769118785858154296875	0.447938518860421186484899180868524126708507537841796875	0.67535345920494271876322045500273816287517547607421875	0.16512162293071705	-0.07246353533241771	ADAMTS1;GPX3;IER5
HEPATOCYTE	3/2316	0.64477783610606653752483907737769186496734619140625	0.96820650614688819057818136570858769118785858154296875	0.447938518860421186484899180868524126708507537841796875	0.67535345920494271876322045500273816287517547607421875	0.17505060938070693	-0.07682086569087614	C3;SDC4;GPX3
SPERM	2/2316	0.85144009698148881426504885894246399402618408203125	0.96820650614688819057818136570858769118785858154296875	0.717819891631243489626967857475392520427703857421875	0.8684734491340970752304428970091976225376129150390625	0.5399965544761314	-0.08684555679680897	ACE;MYOC
CORD BLOOD	2/2316	0.85144009698148881426504885894246399402618408203125	0.96820650614688819057818136570858769118785858154296875	0.717819891631243489626967857475392520427703857421875	0.8684734491340970752304428970091976225376129150390625	0.5408067050436272	-0.08697585017838745	HK2;NFKB1
HUMAN ZYGOTE	2/2316	0.85144009698148881426504885894246399402618408203125	0.96820650614688819057818136570858769118785858154296875	0.717819891631243489626967857475392520427703857421875	0.8684734491340970752304428970091976225376129150390625	0.5598519763956686	-0.09003882749037966	BMPER;MYOC
ERYTHROBLAST	2/2316	0.85144009698148881426504885894246399402618408203125	0.96820650614688819057818136570858769118785858154296875	0.717819891631243489626967857475392520427703857421875	0.8684734491340970752304428970091976225376129150390625	0.575955102659067	-0.09262863098990544	MYC;PIM1
BRAIN (BULK)	2/2316	0.85144009698148881426504885894246399402618408203125	0.96820650614688819057818136570858769118785858154296875	0.717819891631243489626967857475392520427703857421875	0.8684734491340970752304428970091976225376129150390625	0.6108078165860109	-0.09823385813770039	BMPER;HAS1
CEREBRAL CORTEX	2/2316	0.85144009698148881426504885894246399402618408203125	0.96820650614688819057818136570858769118785858154296875	0.717819891631243489626967857475392520427703857421875	0.8684734491340970752304428970091976225376129150390625	0.6122504260073962	-0.09846586742998571	BMPER;CXCL14
PLASMACYTOID DENDRITIC CELL	3/2316	0.64477783610606653752483907737769186496734619140625	0.96820650614688819057818136570858769118785858154296875	0.447938518860421186484899180868524126708507537841796875	0.67535345920494271876322045500273816287517547607421875	0.23585003265075363	-0.10350265986248648	SRPX;TRIB1;NFKB1
PLASMA CELL	2/2316	0.85144009698148881426504885894246399402618408203125	0.96820650614688819057818136570858769118785858154296875	0.717819891631243489626967857475392520427703857421875	0.8684734491340970752304428970091976225376129150390625	0.6684524587902861	-0.10750462293626428	UAP1;TRIB1
MELANOCYTE	2/2316	0.85144009698148881426504885894246399402618408203125	0.96820650614688819057818136570858769118785858154296875	0.717819891631243489626967857475392520427703857421875	0.8684734491340970752304428970091976225376129150390625	0.7028241554761776	-0.11303248994206982	SRPX;MYC
SENSORY NEURON	2/2316	0.85144009698148881426504885894246399402618408203125	0.96820650614688819057818136570858769118785858154296875	0.717819891631243489626967857475392520427703857421875	0.8684734491340970752304428970091976225376129150390625	0.7223995073043025	-0.11618071804633281	BMPER;GPX3
REGULATORY T CELLS	2/2316	0.85144009698148881426504885894246399402618408203125	0.96820650614688819057818136570858769118785858154296875	0.717819891631243489626967857475392520427703857421875	0.8684734491340970752304428970091976225376129150390625	0.7858205475128279	-0.12638047858903764	SDC4;TRIB1
THYMUS (BULK TISSUE)	3/2316	0.64477783610606653752483907737769186496734619140625	0.96820650614688819057818136570858769118785858154296875	0.447938518860421186484899180868524126708507537841796875	0.67535345920494271876322045500273816287517547607421875	0.3416730995117582	-0.14994305578619138	SRPX;MYOC;CILP
SPLEEN (BULK TISSUE)	2/2316	0.85144009698148881426504885894246399402618408203125	0.96820650614688819057818136570858769118785858154296875	0.717819891631243489626967857475392520427703857421875	0.8684734491340970752304428970091976225376129150390625	0.9510360542384082	-0.15295144937415617	GPX3;CXCL1
SUPERIOR FRONTAL GYRUS	3/2316	0.64477783610606653752483907737769186496734619140625	0.96820650614688819057818136570858769118785858154296875	0.447938518860421186484899180868524126708507537841796875	0.67535345920494271876322045500273816287517547607421875	0.4537273785123942	-0.1991180158028947	BMPER;HAS1;CXCL14
