Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
OMENTUM	76/2316	0.000000000000000000000000000000062251286535363367248499707772025524294440282159920762583345007830622606002911954945107375625212853265111334621906280517578125	0.00000000000000000000000000000672313894581924300597931328712075462830130830612325582137847559109047343718873306073202655852583120577037334442138671875	0.0000000000000000000000000000000000021800768619908537357552714247039420080996632000069431221884884403260436589724513794689170361439101153422370771295391023159027099609375	0.000000000000000000000000000000000235448301095012198116039893683634444593690691297786099565962991345115319245149764661845757929281575115965097211301326751708984375	-1.584773101471313	113.87249065718356	SRPX;SNED1;PID1;CHPF;DOCK9;ELN;NRK;BHLHE41;TNFAIP3;LDB2;PEAR1;CPZ;MEOX2;TSPAN11;MEOX1;PTMS;AKAP12;THBD;TNKS1BP1;SIRPA;SVEP1;PTGFRN;HMCN1;SCARF2;TNS2;PDGFRA;SCARA3;ENTPD2;IGFBP5;UNC5B;FST;OSR1;EMP1;EBF2;HIC1;CPED1;B3GNT9;COL4A2;COL4A1;RHOJ;KCTD12;EPHA3;DDR2;COL15A1;CFH;LRP1;TWIST2;LTBP4;NTN1;FBLN5;CYGB;C2;CYTH3;GPR153;SPOCK2;EPB41L2;ABI3BP;SLIT3;GPC6;GDF10;NTRK2;GADD45B;LAMB2;SUSD2;PRRX2;FMO1;PRG4;FMO2;PODN;FOSL2;SKI;IGSF10;TBX15;SMOC2;MGP;TMEM119
VENTRICLE	74/2316	0.000000000000000000000000000003770981527934035943823193441266452553423685996833547563933174350369394810093305603349023158443742431700229644775390625	0.00000000000000000000000000020363300250843795217684016042692500527471571014834061869448694993207349380158477369917591204284690320491790771484375	0.000000000000000000000000000000000189196233039413845435271001655870152019770698733065280137163028704566808296723600400077365014939179133079960593022406101226806640625	0.000000000000000000000000000000010216596584128347696268869450892118547316201206009235188449953631727386815414074296170555966600801411914289928972721099853515625	-1.66782210531863	112.99531033662721	NRP1;SRPX;SNED1;APP;CHPF;DOCK9;ELN;NRK;BHLHE41;LDB2;PEAR1;MEOX2;MEOX1;YBX3;PKD1;AKAP13;THBD;TNKS1BP1;SVEP1;PTGFRN;HMCN1;SCARF2;TNS2;PDGFRA;ZHX3;ENTPD2;IGFBP5;UNC5B;OSR1;EMP1;EBF2;HIC1;CPED1;COL4A2;COL4A1;COL4A4;COL4A3;RHOJ;KCTD12;SLC29A1;EPHA3;PLEC;COL15A1;CFH;LRP1;ASAP3;FAM129A;LTBP4;NTN1;FBLN5;CYGB;CYTH3;EPB41L2;MGAT5;ABI3BP;SLIT3;SPTBN1;NTRK2;GADD45B;IQSEC1;LAMB2;SUSD2;ABCA9;PLEKHA6;PRG4;FMO2;PODN;FOSL2;SKI;IGSF10;SMOC2;NFIB;MGP;RAMP1
VALVE	72/2316	0.00000000000000000000000000020528810926399623619171268770126321822355627412872283092034982943594386968315379515814811384188942611217498779296875	0.00000000000000000000000000739037193350386486163406362439864601252279919085255152087965098008201687840301730147984926588833332061767578125	0.0000000000000000000000000000000146987830876779139606563500906426084620804054604736676503461494154851635640589529833988091667151820729486644268035888671875	0.000000000000000000000000000000529156191156404815002474582962066971901795640957293830396090011675230153489354564290414462135458961711265146732330322265625	-1.6911566894961552	107.81654645837355	SRPX;SNED1;PID1;CHPF;ELN;BHLHE41;LDB2;PEAR1;CPZ;MEOX2;TSPAN11;MEOX1;PTMS;THBD;C1QTNF2;HCFC1R1;TNKS1BP1;SVEP1;PTGFRN;HMCN1;SCARF2;SCN1B;TNS2;DACT1;PDGFRA;SCARA3;IGFBP5;UNC5B;FST;OSR1;EMP1;HIC1;B3GNT9;COL4A2;COL4A1;COL4A4;COL4A3;RHOJ;EPHA3;COL15A1;CFH;LRP1;TWIST2;LTBP4;RRBP1;NTN1;ADAMTS10;FBLN5;CYGB;C2;CYTH3;SERTAD4;GPR153;EPB41L2;ABI3BP;SLIT3;GDF10;NTRK2;LAMB2;SUSD2;PRRX2;PLEKHA6;PRG4;FMO2;PODN;SKI;EXT1;IGSF10;TBX15;SMOC2;MGP;RAMP1
ATRIUM	70/2316	0.0000000000000000000000000100419626852634935079787385210056581243923378211777577769969618600264644157904481147625119774602353572845458984375	0.000000000000000000000000180755328334742897492913568064228652498053013669940824295827598295997862276607293097185902297496795654296875	0.0000000000000000000000000000010225695362389764031392145870983287288307034001196117590125226908770149852491286070199638658095864229835569858551025390625	0.0000000000000000000000000000184062516523015745558566304053613816570878695571949460220944374975283838559501729814638082416422548703849315643310546875	-1.6648342491844461	99.66201416174903	SRPX;SNED1;PID1;CHPF;ELN;NRK;LDB2;PEAR1;CPZ;MEOX2;MEOX1;PKD1;THBD;TNKS1BP1;SVEP1;PTGFRN;HMCN1;SCARF2;SCN1B;TNS2;DACT1;PDGFRA;SCARA3;IGFBP5;UNC5B;OSR1;EMP1;EBF2;HIC1;B3GNT9;COL4A2;COL4A1;COL4A4;COL4A3;KCTD12;EPHA3;PLEC;COL15A1;CFH;LRP1;ASAP3;FAM129A;TWIST2;LTBP4;NTN1;ADAMTS10;FBLN5;CYGB;CYTH3;GPR153;MGAT5;ABI3BP;SLIT3;GPC6;LAMB2;SUSD2;PRRX2;ABCA9;PLEKHA6;PRG4;FMO2;PODN;SKI;EXT1;IGSF10;TBX15;SMOC2;NFIB;MGP;RAMP1
ADIPOSE (BULK TISSUE)	71/2316	0.000000000000000000000000001455137501951917614450465598088465002413143288965924244047952451336827681301067105579249982838518917560577392578125	0.0000000000000000000000000392887125527017745139653505469290445957305488354243657660535448249302346857003698232801980338990688323974609375	0.0000000000000000000000000000001243018576952328768075873754795240692718090228210861299421919372455892456733330081290744839606077221105806529521942138671875	0.00000000000000000000000000000335615015777128798033889820900088413490468996083847922599648209111873470503867832037681040446841507218778133392333984375	-1.5519971806038209	95.90519569350313	NRP1;SRPX;SNED1;PID1;DOCK9;ELN;BHLHE41;LDB2;PEAR1;CPZ;MEOX2;MEOX1;AKAP12;THBD;TNKS1BP1;SIRPA;SVEP1;HMCN1;SCARF2;TNS2;PDGFRA;SCARA3;IGFBP5;FST;OSR1;EMP1;EBF2;HIC1;CPED1;OLFM1;COL4A2;COL4A1;RHOJ;KCTD12;SLC29A1;EPHA3;DDR2;COL15A1;CFH;LRP1;ASAP3;TWIST2;LTBP4;ADAMTS10;FBLN5;CYGB;CYTH3;SERTAD4;GPR153;EPB41L2;ABI3BP;NAALAD2;SLIT3;GPC6;SPTBN1;GDF10;NTRK2;LAMB2;SUSD2;PRRX2;ABCA9;FMO1;PRG4;FMO2;PODN;SKI;IGSF10;TBX15;SMOC2;PQLC3;MGP
LUNG (BULK TISSUE)	70/2316	0.0000000000000000000000000100419626852634935079787385210056581243923378211777577769969618600264644157904481147625119774602353572845458984375	0.000000000000000000000000180755328334742897492913568064228652498053013669940824295827598295997862276607293097185902297496795654296875	0.0000000000000000000000000000010225695362389764031392145870983287288307034001196117590125226908770149852491286070199638658095864229835569858551025390625	0.0000000000000000000000000000184062516523015745558566304053613816570878695571949460220944374975283838559501729814638082416422548703849315643310546875	-1.4464960972789989	86.59163193125949	NRP1;SRPX;SNED1;PID1;DOCK9;ELN;BHLHE41;TNFAIP3;LDB2;PEAR1;CPZ;MEOX2;TSPAN11;CXCL16;THBD;TNKS1BP1;SIRPA;SVEP1;HMCN1;SCARF2;TNS2;PDGFRA;SCARA3;IGFBP5;UNC5B;OSR1;EMP1;ARAP1;HIC1;CPED1;B3GNT9;COL4A2;COL4A1;COL4A4;COL4A3;RHOJ;SIK1;KCTD12;EPHA3;PLEC;COL15A1;CFH;LRP1;ASAP3;LTBP4;NTN1;ADAMTS10;FBLN5;CYGB;C2;CYTH3;SERTAD4;GPR153;SPOCK2;ABI3BP;SLIT3;SPTBN1;GDF10;GADD45B;LAMB2;SUSD2;PRG4;FMO2;PODN;FOSL2;SKI;IGSF10;SMOC2;FMNL2;MGP
RESPIRATORY SMOOTH MUSCLE	67/2316	0.00000000000000000000000280944469004918902838698121503017133986783674753974871851941829520825366639513731570332311093807220458984375	0.000000000000000000000043345718075044632193052791559753457061738724204134648930488685376893887024607465718872845172882080078125	0.00000000000000000000000000048245134518305033331114591083356678678054620697604964150229102915944250670569892758265950760687701404094696044921875	0.0000000000000000000000000074435350399670618241445852236638116520037186362066564017891310093896360851328797281212246161885559558868408203125	-1.5519347558786907	84.15995583392872	SRPX;SNED1;PID1;CHPF;ELN;LDB2;PEAR1;CPZ;TSPAN11;PTMS;AKAP12;C1QTNF2;HCFC1R1;TNKS1BP1;SIRPA;SVEP1;HMCN1;SCARF2;TNS2;DACT1;PDGFRA;CCBE1;SCARA3;ZHX3;IGFBP5;UNC5B;FST;OSR1;EMP1;HIC1;CPED1;B3GNT9;COL4A2;COL4A4;RHOJ;IL6ST;DDR2;COLEC12;COL15A1;CFH;LRP1;ASAP3;TWIST2;LTBP4;NTN1;ADAMTS10;FBLN5;CYGB;CYTH3;GPR153;EPB41L2;ABI3BP;SLIT3;GPC6;GDF10;LAMB2;SUSD2;PRRX2;FMO1;FMO2;PODN;BICC1;EXT1;IGSF10;MGP;TMEM119;RAMP1
OSTEOBLAST	64/2316	0.000000000000000000000616524468233024639125449655428578060967811418726016047092675607943501603358527063392102718353271484375	0.000000000000000000006658464256916666666792144673326646883445901188918898661560363816391827640472911298274993896484375	0.000000000000000000000000177497042487254580832420939660592123613993591996676603136188052451077505622389907102842698805034160614013671875	0.0000000000000000000000019169680588623497209459857749106661471864941138815549787455968480838486289741240398143418133258819580078125	-1.5300044406517177	74.72227153058057	SRPX;SNED1;PID1;CHPF;ELN;LDB2;PEAR1;CPZ;MEOX2;TSPAN11;PKD1;PTMS;AKAP12;TNKS1BP1;SIRPA;SVEP1;PTGFRN;HMCN1;SCARF2;TNS2;DLGAP4;DACT1;PDGFRA;SCARA3;IGFBP5;UNC5B;FST;OSR1;EMP1;EBF2;HIC1;CPED1;B3GNT9;COL4A2;COL4A1;COL4A4;RHOJ;KCTD12;EPHA3;DDR2;PLEC;CFH;LRP1;ASAP3;TWIST2;RRBP1;ADAMTS10;FBLN5;CYGB;CYTH3;SERTAD4;ABI3BP;SLIT3;GPC6;GDF10;LAMB2;PRRX2;PODN;BICC1;SKI;EXT1;TBX15;TMEM119;RAMP1
SUBCUTANEOUS ADIPOSE TISSUE	66/2316	0.0000000000000000000000174110523350877906357446967472484598116487681257465092759376449303709843974274917854927480220794677734375	0.0000000000000000000002350492065236851706438175290321354375354170266419636806784943146297894855933918734081089496612548828125	0.0000000000000000000000000035540393582886246862791182032342129041461061178995540448381885775068467735182675681926411925815045833587646484375	0.0000000000000000000000000479795313368964325473032820093555338930228859472069203898214315555663563028776508190276217646896839141845703125	-1.3939993455349737	73.05244793044706	NRP1;SRPX;SNED1;PID1;DOCK9;ELN;BHLHE41;LDB2;PEAR1;CPZ;MEOX2;MEOX1;THBD;TNKS1BP1;SIRPA;SVEP1;HMCN1;SCARF2;TNS2;PDGFRA;SCARA3;IGFBP5;OSR1;EMP1;EBF2;HIC1;CPED1;COL4A2;COL4A1;RHOJ;KCTD12;SLC29A1;EPHA3;DDR2;COL15A1;CFH;LRP1;TWIST2;LTBP4;ADAMTS10;FBLN5;CYGB;CYTH3;SERTAD4;GPR153;EPB41L2;ABI3BP;NAALAD2;SLIT3;GPC6;GDF10;NTRK2;TCF7L1;LAMB2;PRRX2;ABCA9;FMO1;PRG4;FMO2;PODN;SKI;IGSF10;TBX15;SMOC2;PQLC3;MGP
PERICARDIUM	63/2316	0.000000000000000000003522034842273950111454671873941756025275480120110425922186521419110505348726292140781879425048828125	0.000000000000000000034579978451416965551354652427352519266331678076252073203954162661233340259059332311153411865234375	0.000000000000000000000001203217693007481569261639464300239805458457172291064396583075996201815660580081157604581676423549652099609375	0.000000000000000000000011813410076800729002831696597773809203227067230743735191602714214818836691023307139403186738491058349609375	-1.4853388045454368	69.95239943850261	SRPX;SNED1;CHPF;ELN;NRK;PEAR1;CPZ;MEOX2;PKD1;AKAP12;THBD;TNKS1BP1;SVEP1;PTGFRN;HMCN1;SCARF2;TNS2;DACT1;PDGFRA;SCARA3;ZHX3;UNC5B;FST;OSR1;EMP1;EBF2;HIC1;B3GNT9;COL4A2;COL4A1;COL4A4;IL6ST;EPHA3;DDR2;PLEC;CFH;LRP1;ASAP3;TWIST2;ADAMTS10;FBLN5;CYGB;CYTH3;GPR153;SLIT3;GPC6;LAMB2;SUSD2;PTCH2;PRRX2;ABCA9;FMO1;PRG4;FMO2;PODN;BICC1;EXT1;IGSF10;TBX15;SMOC2;MGP;TMEM119;RAMP1
