Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
FIBROBLAST	125/2316	0.0000000000000000000000000000000000000125666555838715726005303070001499066968941990038414512741714721869749307469281061513991590774673608177369743543749791570007801055908203125	0.0000000000000000000000000000000000006785994015290649621905851731986519325781690454493427252927107497380321659893910471817833556071493383843318270010058768093585968017578125	0.000000000000000000000000000000000000000000000000437287692416682669834598232969969510840136228271754314902854229156853507392117171605782126860284235576118752878534258891657544865427809099855949170887470245361328125	0.000000000000000000000000000000000000000000000023613535390500866146146395698416493059801748395561821082715021767418642385368565359145946824576069799999150463894878799499255084270998850115574896335601806640625	-1.660276517251172	144.89195262419958	RTL1;STEAP3;RAPH1;HDLBP;PLOD2;PLAT;GXYLT2;LOXL1;EFEMP2;GJA1;FGF7;TUBB6;BMPER;PLAU;ANPEP;CREB3L1;IL13RA1;IL1R1;IGFBP4;IGFBP3;WNT5A;P3H1;HSPG2;MID1;GEM;PDGFRL;PDIA5;ADAM19;TPST1;SELENOM;CCDC80;CRISPLD2;ADAM12;CERCAM;MXRA8;FKBP7;ADAM9;COL8A1;KDELR3;OBSL1;PTGES;FBLN7;LRRC59;NUMBL;SHOX2;TWIST1;DPT;FBLN1;THY1;NID1;FBLN2;NID2;TSPAN9;SWI5;PENK;VAT1;SEC16B;SLC10A6;FUCA2;TFPI2;LAYN;DAB2;IL6;BMP1;COL5A1;P4HA2;GPR180;P4HA3;COL5A3;COL5A2;SDC1;AMOTL1;FGFR1;ITGB5;TNFAIP6;SRXN1;COL14A1;FHL2;GLI3;PANX1;ADAMTSL1;MRC2;ADAMTS2;ADAMTS1;MME;MMP2;MMP3;GPX8;OSMR;SLC39A14;PRSS12;CKAP4;MMP14;RCN1;OAF;COL6A2;PXDN;COL6A1;MMP19;COL6A3;ANG;RBMS3;ENG;SLFN5;NFIX;LAMA2;LAMA4;LRRC17;PTGS2;PAPSS2;SRM;THBS3;CLMP;KDELC2;RUNX1T1;TCEAL9;LUM;TXNRD1;LAMB1;MFAP4;FAP;TCEA3;MFAP2;PTX3;CDR2L
OMENTUM	126/2316	0.0000000000000000000000000000000000000023280964065861945414555072073578608280819090554353469579620229606830254604736029149039901546127548045451993719012762085185386240482330322265625	0.00000000000000000000000000000000000025143441191130902222274282079199311751137557464880307172199414427790653569669473465513277697365272789209456050230073742568492889404296875	0.000000000000000000000000000000000000000000000000062005341788129214033388359339966847069167642549263762590181515933869064348532574526467891630462281513691921900752069421602235589630058854027083725668489933013916015625	0.00000000000000000000000000000000000000000000000669657691311795560937546558822595435207870341254225837922982706909499719619007757196696028962010667320091201739473070237047835906452064591576345264911651611328125	-1.584773101471313	140.97470784949147	PLAT;GXYLT2;CXCL14;TSKU;LOXL1;ICAM1;EFEMP2;GJA1;FGF7;BMPER;PLAU;FCGRT;TMEM88;MYC;FAM198B;HMCN2;PIM1;IL13RA1;CSGALNACT1;IL1R1;IGFBP4;IGFBP3;HSPG2;GEM;PDGFRL;SELENOM;CCDC80;SFRP2;CRISPLD2;ADAM12;MXRA8;SERPING1;COL4A5;COL8A1;KDELR3;OBSL1;CFB;TSHZ2;TWIST1;LPL;DPT;FBLN1;THY1;NID1;FBLN2;NID2;C3;HSD11B2;TSPAN9;PENK;GGT5;SEC16B;SLC10A6;TFPI2;LAYN;IGF1;BST2;DAB2;IL6;MAFB;COL5A1;COL5A3;COL5A2;CDKN1C;LGALS3BP;CXCL9;ITGB5;TNFAIP6;COL14A1;TNFAIP2;CXCL1;GLI3;GHR;ADAMTSL1;MRC2;ADAMTS2;ADAMTS1;ACP5;CTSH;CPXM1;GPX3;MMP2;OSMR;SLC39A14;ITPKC;MMP14;OAF;COL6A2;PXDN;COL6A1;MMP19;COL6A3;COL6A6;ANG;CD302;ANGPTL1;ENG;ITIH5;NFIX;CCL11;LAMA2;LAMA4;FGL2;LRRC17;PTGS2;STX11;THBS3;IL1RL2;CCL8;CLMP;HAS1;PDPN;AOC3;IL33;LUM;LGI2;LAMB1;SULF2;MFAP4;FAP;TCEA3;MFAP2;PI15;FOSB;PTX3;CDR2L
PERICARDIUM	112/2316	0.00000000000000000000000000001170994882757002764064728860533552808963252477718109165245702569214580456369106074843156051201731315813958644866943359375	0.000000000000000000000000000316168618344390744896178328019242187496348585693973343336077751811420951462590356317861051138606853783130645751953125	0.0000000000000000000000000000000000000125170389286117984082859664714784864268962108323218605590776918798179382123091228780457495033337782415483463438476974260993301868438720703125	0.000000000000000000000000000000000000337960051072518559633842881929328944210315336175309257375563383982670950835800899895124534429006503410963802025435143150389194488525390625	-1.7576469475516812	117.08936704551314	RTL1;STEAP3;RAPH1;PLOD2;PLAT;IRS2;GXYLT2;LOXL1;EFEMP2;GJA1;FGF7;TUBB6;BMPER;PLAU;TMEM88;ANPEP;CREB3L1;FAM198B;IL1R1;IGFBP4;IGFBP3;WNT5A;HSPG2;TPST1;SELENOM;CCDC80;CRISPLD2;ADAM12;CERCAM;MXRA8;FKBP7;DPEP1;SERPING1;COL4A5;ADAM9;COL8A1;KDELR3;OBSL1;IGSF3;SHOX2;TWIST1;DPT;FBLN1;THY1;NID1;FBLN2;NID2;C3;TSPAN9;PENK;VAT1;GGT5;TFPI2;DAB2;IL6;BMP1;COL5A1;P4HA2;P4HA3;COL5A3;COL5A2;CDKN1C;ITGB5;TNFAIP6;COL14A1;GLI3;PANX1;ADAMTSL1;MRC2;ADAMTS2;ADAMTS1;CPXM1;MME;GAA;MMP2;GPX8;OSMR;ITPKC;MMP14;OAF;COL6A2;PXDN;COL6A1;MMP19;COL6A3;COL6A6;ANG;ANGPTL1;RBMS3;ENG;NFIX;LAMA2;LAMA4;LRRC17;PTGS2;PAPSS2;THBS3;IL1RL2;CLMP;HAS1;PDPN;IL33;LUM;PCDH7;LAMB1;SULF2;MFAP4;FAP;MFAP2;PI15;PTX3;CDR2L
RESPIRATORY SMOOTH MUSCLE	112/2316	0.00000000000000000000000000001170994882757002764064728860533552808963252477718109165245702569214580456369106074843156051201731315813958644866943359375	0.000000000000000000000000000316168618344390744896178328019242187496348585693973343336077751811420951462590356317861051138606853783130645751953125	0.0000000000000000000000000000000000000125170389286117984082859664714784864268962108323218605590776918798179382123091228780457495033337782415483463438476974260993301868438720703125	0.000000000000000000000000000000000000337960051072518559633842881929328944210315336175309257375563383982670950835800899895124534429006503410963802025435143150389194488525390625	-1.654361425499988	110.20878365028466	PLAT;GXYLT2;LOXL1;EFEMP2;GJA1;FGF7;BMPER;PLAU;ANPEP;CREB3L1;FAM198B;IL1R1;IGFBP4;IGFBP3;WNT5A;HSPG2;MID1;GEM;PDGFRL;TPST1;SELENOM;CCDC80;ADAM12;CERCAM;MXRA8;FKBP7;SERPING1;ADAM9;KDELR3;CFB;PTGES;NUMBL;SMIM1;SHOX2;TWIST1;DPT;FBLN1;THY1;NID1;FBLN2;NID2;C3;TSPAN9;PENK;VAT1;SEC16B;SLC10A6;TFPI2;LAYN;DAB2;IL6;BMP1;COL5A1;P4HA2;P4HA3;COL5A2;SDC1;FGFR1;ITGB5;TNFAIP6;SRXN1;COL14A1;FHL2;GLI3;ADAMTSL1;MRC2;ADAMTS2;ADAMTS1;MME;GAA;MMP2;MMP3;GPX8;OSMR;PRSS12;ITPKC;MMP14;OAF;COL6A2;PXDN;COL6A1;MMP19;COL6A3;COL6A6;ANG;ANGPTL1;ENG;ITIH5;NFIX;CCL11;LAMA2;LAMA4;LRRC17;PAPSS2;THBS3;IL1RL2;CCL8;CLMP;CCL7;KDELC2;SCN7A;AOC3;IL33;SVIL;LUM;LAMB1;MFAP4;FAP;TCEA3;MFAP2;PTX3;CDR2L
VASCULAR SMOOTH MUSCLE	109/2316	0.0000000000000000000000000009794205399237642460516777406826581212362889624024083477055618309410452084103060332864743031677789986133575439453125	0.00000000000000000000000002115548366235330441437809602093624997913592702348154791916721004075663085941538810175188700668513774871826171875	0.00000000000000000000000000000000000228184163185829515329987402552441153739958913140751248629343886283626151533874123105075426890496481657777394502772949635982513427734375	0.00000000000000000000000000000000004928777924813917263851256885913164306729465808692039088874139933221455076937931843029765122121688136758166365325450897216796875	-1.6197128974025243	100.73090343929054	STEAP3;RAPH1;PLOD2;PLAT;GXYLT2;TSKU;LOXL1;ICAM1;EFEMP2;GJA1;FGF7;TUBB6;BMPER;PLAU;ANPEP;CREB3L1;FAM198B;GRB10;IL1R1;IGFBP4;IGFBP3;P3H1;HSPG2;GEM;PDIA5;ADAM19;TPST1;SELENOM;CCDC80;ADAM12;CERCAM;MXRA8;COL4A5;ADAM9;KDELR3;CFB;PTGES;LRRC59;NUMBL;SHOX2;TWIST1;THY1;NID1;FBLN2;NID2;TSPAN9;PENK;SEC16B;TFPI2;LAYN;DAB2;IL6;BMP1;COL5A1;P4HA2;P4HA3;COL5A3;COL5A2;SDC1;B4GALT1;ITGB5;TNFAIP6;SRXN1;FHL2;CXCL1;PANX1;ADAMTSL1;MRC2;ADAMTS2;ADAMTS1;MMP2;GPX8;OSMR;SLC39A14;PRSS12;CKAP4;ITPKC;MMP14;OAF;COL6A2;PXDN;COL6A1;MMP19;COL6A3;ANG;ANGPTL1;ENG;NFIX;CCL11;LAMA2;LAMA4;LRRC17;PTGS2;PAPSS2;SRM;THBS3;IL1RL2;CLMP;CCL7;HAS1;AOC3;IL33;PCDH7;LAMB1;MFAP4;FAP;MFAP2;PTX3;CDR2L
OSTEOBLAST	108/2316	0.0000000000000000000000000041614750229897726958405984918366243412045707729680232979304442680686831369796241375524914474226534366607666015625	0.0000000000000000000000000642056146404136416184020294627872123393240365098602617491654826335539980874944632205369998700916767120361328125	0.00000000000000000000000000000000001256088844151179698403089204722071421277091773944165799839426455886639940812398381435232501239507296730835150810889899730682373046875	0.0000000000000000000000000000000001937965645261820197745270547589332346217334753564663079130436706969628410234128662570883550042566412230371497571468353271484375	-1.6333365730685379	99.21527907431928	RTL1;STEAP3;RAPH1;PLOD2;PLAT;GXYLT2;TSKU;LOXL1;EFEMP2;GJA1;FGF7;TUBB6;BMPER;PLAU;ANPEP;CREB3L1;FAM198B;GRB10;IL1R1;IGFBP4;IGFBP3;WNT5A;HSPG2;MID1;GEM;PDIA5;TPST1;SELENOM;CCDC80;ADAM12;CERCAM;MXRA8;FKBP7;ADAM9;COL8A1;KDELR3;PTGES;LRRC59;SHOX2;TWIST1;FBLN1;THY1;NID1;FBLN2;NID2;TSPAN9;PENK;VAT1;SEC16B;TFPI2;LAYN;DCLK1;DAB2;IL6;BMP1;COL5A1;P4HA2;P4HA3;COL5A3;COL5A2;AMOTL1;ITGB5;TNFAIP6;SRXN1;COL14A1;FHL2;GLI3;PANX1;ADAMTSL1;MRC2;ADAMTS2;ADAMTS1;MMP2;GPX8;OSMR;SLC39A14;PRSS12;CKAP4;MMP14;RCN1;COL6A2;PXDN;COL6A1;MMP19;COL6A3;ANGPTL1;ENG;SLFN5;NFIX;LAMA2;LAMA4;LRRC17;PTGS2;PAPSS2;SRM;THBS3;IL1RL2;CLMP;KDELC2;HAS1;LUM;LAMB1;MFAP4;FAP;TCEA3;MFAP2;PTX3;CDR2L
KUPFFER CELL	107/2316	0.0000000000000000000000000174269626297539778895587012785830970718158512916656375362846688570448057398198926648547057993710041046142578125	0.00000000000000000000000020912355155704773467470441534299716486179021549998765043541602628453766887783871197825646959245204925537109375	0.0000000000000000000000000000000000681231508205287939723719072321065068954422154637745821568435300779841414585035964509500232277883213782843085937201976776123046875	0.00000000000000000000000000000000081747780984634552766846288678527808274530658556529498588212236093580969750204315741140027873345985653941170312464237213134765625	-1.5919263836656632	94.41998573691326	STEAP3;RAPH1;PLOD2;PLAT;GXYLT2;LOXL1;ICAM1;EFEMP2;GJA1;FGF7;TUBB6;BMPER;CREB3L1;FAM198B;IL13RA1;IL1R1;IGFBP4;IGFBP3;HSPG2;GEM;TPST1;SELENOM;CCDC80;ADAM12;CERCAM;MXRA8;FKBP7;COL4A5;ADAM9;COL8A1;KDELR3;CFB;TWIST1;THY1;NID1;FBLN2;NID2;C3;TSPAN9;PENK;VAT1;SEC16B;TFPI2;LAYN;DAB2;IL6;BMP1;COL5A1;P4HA2;P4HA3;COL5A2;SDC1;AMOTL1;LGALS3BP;B4GALT1;ITGB5;TNFAIP6;SRXN1;COL14A1;FHL2;CXCL1;PANX1;ADAMTSL1;MRC2;ADAMTS2;ADAMTS1;GPX3;MMP2;MMP3;GPX8;OSMR;SLC39A14;PRSS12;CKAP4;ITPKC;MMP14;RCN1;COL6A2;PXDN;COL6A1;MMP19;COL6A3;ANG;ANGPTL1;ENG;NFIX;CCL11;LAMA2;LAMA4;FGL2;LRRC17;PTGS2;PAPSS2;THBS3;IL1RL2;CLMP;CCL7;KDELC2;HAS1;IL33;LUM;TXNRD1;LAMB1;MFAP4;FAP;PTX3;CDR2L
STROMAL CELL	107/2316	0.0000000000000000000000000174269626297539778895587012785830970718158512916656375362846688570448057398198926648547057993710041046142578125	0.00000000000000000000000020912355155704773467470441534299716486179021549998765043541602628453766887783871197825646959245204925537109375	0.0000000000000000000000000000000000681231508205287939723719072321065068954422154637745821568435300779841414585035964509500232277883213782843085937201976776123046875	0.00000000000000000000000000000000081747780984634552766846288678527808274530658556529498588212236093580969750204315741140027873345985653941170312464237213134765625	-1.5513715347417516	92.014605503098	RTL1;PLOD2;PLAT;GXYLT2;TSKU;LOXL1;EFEMP2;GJA1;FGF7;BMPER;PLAU;ANPEP;CREB3L1;FAM198B;IL1R1;IGFBP4;IGFBP3;WNT5A;HSPG2;GEM;PDIA5;TPST1;SELENOM;CCDC80;ADAM12;CERCAM;MXRA8;FKBP7;ADAM9;COL8A1;KDELR3;CFB;PTGES;LRRC59;SHOX2;TWIST1;DPT;FBLN1;THY1;NID1;FBLN2;NID2;TSPAN9;PENK;SEC16B;SLC10A6;TFPI2;LAYN;DAB2;IL6;BMP1;COL5A1;P4HA2;P4HA3;COL5A3;COL5A2;SDC1;FGFR1;ITGB5;TNFAIP6;COL14A1;FHL2;GLI3;PANX1;ADAMTSL1;MRC2;ADAMTS2;ADAMTS1;CPXM1;MME;MMP2;MMP3;GPX8;OSMR;SLC39A14;PRSS12;ITPKC;MMP14;RCN1;OAF;COL6A2;PXDN;COL6A1;MMP19;COL6A3;ANG;ANGPTL1;ENG;NFIX;CCL11;LAMA2;LAMA4;LRRC17;PAPSS2;THBS3;IL1RL2;CLMP;CCL7;KDELC2;HAS1;LUM;LAMB1;MFAP4;FAP;MFAP2;PTX3;CDR2L
ADIPOSE (BULK TISSUE)	108/2316	0.0000000000000000000000000041614750229897726958405984918366243412045707729680232979304442680686831369796241375524914474226534366607666015625	0.0000000000000000000000000642056146404136416184020294627872123393240365098602617491654826335539980874944632205369998700916767120361328125	0.00000000000000000000000000000000001256088844151179698403089204722071421277091773944165799839426455886639940812398381435232501239507296730835150810889899730682373046875	0.0000000000000000000000000000000001937965645261820197745270547589332346217334753564663079130436706969628410234128662570883550042566412230371497571468353271484375	-1.4831801013175412	90.09418517656749	STEAP3;PLOD2;CXCL14;TSKU;LOXL1;EFEMP2;GJA1;FGF7;TUBB6;BMPER;PLAU;FCGRT;TMEM88;FAM198B;HMCN2;IL13RA1;IL1R1;IGFBP4;IGFBP3;ANK2;HSPG2;GEM;PDGFRL;SELENOM;CCDC80;SFRP2;ADAM12;MXRA8;SERPING1;KDELR3;CFB;PTGES;SHOX2;TSHZ2;MGST1;TWIST1;LPL;DPT;FBLN1;THY1;NID1;FBLN2;NID2;C3;TSPAN9;PENK;GGT5;SEC16B;SLC10A6;TFPI2;IGF1;DCLK1;DAB2;MAFB;COL5A1;COL5A3;COL5A2;CDKN1C;LGALS3BP;CXCL9;ITGB5;COL14A1;HK2;GLI3;GHR;ADAMTSL1;MRC2;ADAMTS2;ADAMTS1;ACP5;CPXM1;MME;GPX3;MMP2;ITPKC;MMP14;OAF;COL6A2;PXDN;COL6A1;MMP19;COL6A3;COL6A6;ANG;CD302;ANGPTL1;RBMS3;ENG;ITIH5;NFIX;LAMA2;LAMA4;LRRC17;PAPSS2;STX11;THBS3;CCL8;CLMP;AOC3;IL33;LUM;MBD2;LGI2;LAMB1;MFAP4;FAP;TCEA3;CDR2L
FORESKIN FIBROBLAST	106/2316	0.00000000000000000000000007192289460773017239488320726475089418547941801650747526816463716693716978767270120442844927310943603515625	0.0000000000000000000000007767672617634858802318378700575519692146861086758694488128274059667889572811105836080969311296939849853515625	0.00000000000000000000000000000000036398960590076606579375821007383661471713720785419834062098541245143058555817220862642759164617967115873398142866790294647216796875	0.0000000000000000000000000000000039310877437282737671580008376482174684365826913676024449655429445601253283742591005636875245432548808821593411266803741455078125	-1.3963557446811414	80.84090276667929	RTL1;HDLBP;PLAT;GXYLT2;LOXL1;EFEMP2;GJA1;FGF7;TUBB6;BMPER;PLAU;ANPEP;CREB3L1;IL13RA1;MORC4;IL1R1;IGFBP4;IGFBP3;WNT5A;HSPG2;MID1;PDIA5;ADAM19;TPST1;SELENOM;CCDC80;CRISPLD2;ADAM12;CERCAM;MXRA8;FKBP7;ADAM9;COL8A1;KDELR3;PTGES;FBLN7;NUMBL;SHOX2;MGST1;TWIST1;GSTT1;FBLN1;THY1;NID1;FBLN2;NID2;SLC10A6;TFPI2;LAYN;DAB2;BMP1;COL5A1;P4HA2;P4HA3;COL5A2;SDC1;NOX4;AMOTL1;FGFR1;FHL2;GLI3;ADAMTSL1;MRC2;ADAMTS2;CSRP2;ADAMTS1;VKORC1;MME;MMP2;MMP3;GPX8;OSMR;PRSS12;CKAP4;MMP14;RCN1;OAF;COL6A2;PXDN;COL6A1;MMP19;COL6A3;RBMS3;ENG;SLFN5;NFIX;LAMA2;LAMA4;PAPSS2;CLMP;KDELC2;RUNX1T1;TCEAL9;LUM;TXNRD1;LAMB1;VMP1;MFAP4;MARCKS;FAP;TCEA3;MFAP2;FOSB;PTX3;FAM171B;CDR2L
