Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-OXRL-0005-SM-3LK6A_blood_male_50-59_years	1/1575	0.899569018872313108659000135958194732666015625	0.99990558602903700791131313962978310883045196533203125	0.90020320291349087415966323533211834728717803955078125	0.9999121299421773745308428260614164173603057861328125	0.8788235121905977	-0.09301423959930757	ARHGDIB
GTEX-X15G-0526-SM-3NMB7_thyroid_female_50-59_years	2/1940	0.769981377683091938735060466569848358631134033203125	0.99990558602903700791131313962978310883045196533203125	0.7713499585055398899413603430730290710926055908203125	0.9999121299421773745308428260614164173603057861328125	0.3559345126998352	-0.09303734827785104	COL4A4;EPHA3
GTEX-OHPK-2526-SM-3MJH9_vagina_female_50-59_years	1/1006	0.76450314227685078893870240790420211851596832275390625	0.99990558602903700791131313962978310883045196533203125	0.76535794311224158992246202615206129848957061767578125	0.9999121299421773745308428260614164173603057861328125	0.346512473684068	-0.09304869773011437	KLF5
GTEX-OIZH-1426-SM-3NB1O_colon_male_50-59_years	1/1080	0.78890262404452748956629193344269879162311553955078125	0.99990558602903700791131313962978310883045196533203125	0.789729397088915430202860079589299857616424560546875	0.9999121299421773745308428260614164173603057861328125	0.39248119571174256	-0.09306215147224645	KLF5
GTEX-UPIC-1726-SM-4IHKG_colon_female_20-29_years	1/1569	0.8986485698465231930498475776403211057186126708984375	0.99990558602903700791131313962978310883045196533203125	0.8992850944753663089414885689620859920978546142578125	0.9999121299421773745308428260614164173603057861328125	0.8714403993751504	-0.09312493864616891	KLF5
GTEX-PSDG-0226-SM-33HC1_skin_male_50-59_years	1/1559	0.8970963830980076547660928554250858724117279052734375	0.99990558602903700791131313962978310883045196533203125	0.89773681117460479850223009634646587073802947998046875	0.9999121299421773745308428260614164173603057861328125	0.8577361939508104	-0.09314326492525049	KLF5
GTEX-XV7Q-0226-SM-4BRVL_adrenal gland_female_40-49_years	2/1841	0.74321858350223746203511154817533679306507110595703125	0.99990558602903700791131313962978310883045196533203125	0.74461676918342145636842133171739988029003143310546875	0.9999121299421773745308428260614164173603057861328125	0.31389727956311414	-0.09315375350458445	PID1;RBP1
GTEX-P4PP-1626-SM-2HMJF_muscle_female_30-39_years	1/1126	0.80282103194420073588588593338499777019023895263671875	0.99990558602903700791131313962978310883045196533203125	0.80363024233314328537147730457945726811885833740234375	0.9999121299421773745308428260614164173603057861328125	0.4241588899746743	-0.09315524477333943	COL4A3
GTEX-T5JW-0005-SM-3GADE_blood_female_20-29_years	1/1609	0.90463457315982942485987905456568114459514617919921875	0.99990558602903700791131313962978310883045196533203125	0.9052555182796222510432926355861127376556396484375	0.9999121299421773745308428260614164173603057861328125	0.9303613740056601	-0.09324472757424675	ARHGDIB
GTEX-P4QS-2626-SM-2I3EV_thyroid_male_60-69_years	1/1395	0.868121204837034809997931006364524364471435546875	0.99990558602903700791131313962978310883045196533203125	0.86882590123129954662317686597816646099090576171875	0.9999121299421773745308428260614164173603057861328125	0.6594741288614807	-0.09326542775946818	EPHA3
GTEX-WVLH-0011-R6A-SM-3MJFZ_brain_male_50-59_years	2/1854	0.74687085053097679310241119310376234352588653564453125	0.99990558602903700791131313962978310883045196533203125	0.748265453030800387068666168488562107086181640625	0.9999121299421773745308428260614164173603057861328125	0.31983770501928666	-0.0933487919887787	CPE;MAP6
GTEX-OOBK-2626-SM-2HMKY_thyroid_male_40-49_years	1/1485	0.884876174051959285549173728213645517826080322265625	0.99990558602903700791131313962978310883045196533203125	0.885545565788353084002437753952108323574066162109375	0.9999121299421773745308428260614164173603057861328125	0.7632838547896018	-0.09335538593455077	COL4A4
GTEX-N7MS-0011-R3a-SM-33HC6_brain_male_60-69_years	2/2729	0.91094690682612888821267915773205459117889404296875	0.99990558602903700791131313962978310883045196533203125	0.911949519719301715525716645061038434505462646484375	0.9999121299421773745308428260614164173603057861328125	1.0030771200437878	-0.09355766855179753	SPOCK2;MAP6
GTEX-WFG8-1826-SM-4LVM4_prostate_male_20-29_years	2/1958	0.77459207662506968095073034419328905642032623291015625	0.99990558602903700791131313962978310883045196533203125	0.77595472197887804810534362331964075565338134765625	0.9999121299421773745308428260614164173603057861328125	0.3663815129860013	-0.09358070475162729	UNC5B;EPHA3
GTEX-X4XX-2926-SM-3NMB1_brain_male_60-69_years	3/3660	0.90871703594183583785337532390258274972438812255859375	0.99990558602903700791131313962978310883045196533203125	0.91011136139920922882851073154597543179988861083984375	0.9999121299421773745308428260614164173603057861328125	0.9784529454492925	-0.09365900794126784	UNC5B;SPOCK2;CPE
GTEX-UJHI-1726-SM-3DB9B_muscle_female_50-59_years	1/1050	0.77932004478496441635115843382664024829864501953125	0.99990558602903700791131313962978310883045196533203125	0.7801582132051356754942617044434882700443267822265625	0.9999121299421773745308428260614164173603057861328125	0.37564491399204	-0.09366085249961062	FHL1
GTEX-WZTO-0011-R1B-SM-3NMAR_brain_male_40-49_years	2/1896	0.7583833231517103090624232208938337862491607666015625	0.99990558602903700791131313962978310883045196533203125	0.7597657109196085389868358106468804180622100830078125	0.9999121299421773745308428260614164173603057861328125	0.3387117014463084	-0.09367624806418498	UNC5B;CPE
GTEX-XYKS-0005-SM-4BRUD_blood_female_60-69_years	1/964	0.74946779940821794951943957130424678325653076171875	0.99990558602903700791131313962978310883045196533203125	0.750338394520335238979669156833551824092864990234375	0.9999121299421773745308428260614164173603057861328125	0.3249499867535452	-0.09371295224972767	ARHGDIB
GTEX-PLZ4-2826-SM-3P617_ovary_female_50-59_years	2/2147	0.81853058843071180294970190516323782503604888916015625	0.99990558602903700791131313962978310883045196533203125	0.8198218088926807478600267131696455180644989013671875	0.9999121299421773745308428260614164173603057861328125	0.46820130223355455	-0.09375474106944828	CFH;RBP1
