Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-PLZ6-1526-SM-2S1OC_muscle_male_30-39_years	3/1028	0.211964680247382186717430840872111730277538299560546875	0.6872524296536270949076197211979888379573822021484375	0.2006733827769620892578217308255261741578578948974609375	0.64775608335859791164779153405106626451015472412109375	-0.929366287145526	1.4417590260163065	ARID5B;SLC7A2;THBS4
GTEX-XLM4-0011-R4B-SM-4AT5C_brain_male_60-69_years	5/2037	0.203326391801286143756755109279765747487545013427734375	0.6714701811982559664926384357386268675327301025390625	0.187429896682541841101965474081225693225860595703125	0.628840885246499059491043226444162428379058837890625	-0.8994846321887083	1.432827523354594	PLA2G16;MARCKSL1;TTYH2;SDC3;PTN
GTEX-RWS6-1026-SM-47JXD_ovary_female_60-69_years	4/1574	0.2244207806696595641771097007222124375402927398681640625	0.70207311790575921417456584094907157123088836669921875	0.209882215143829375936235237531946040689945220947265625	0.66272128918017669807483116528601385653018951416015625	-0.9570886543342594	1.430112976651253	MARCKSL1;COL16A1;MDK;SLC7A2
GTEX-WFON-2526-SM-3LK7P_blood vessel_male_40-49_years	2/521	0.1929157140075076493079819783815764822065830230712890625	0.65870188484864333755552934235311113297939300537109375	0.185301364471937624056607774036820046603679656982421875	0.6262374580328986528598989025340415537357330322265625	-0.8665530579015654	1.425914703619536	TNC;PHLDB2
GTEX-RM2N-1126-SM-48FCY_prostate_male_50-59_years	3/1057	0.223838730810634822798732557203038595616817474365234375	0.70207311790575921417456584094907157123088836669921875	0.2120596028062372295774906660881242714822292327880859375	0.6643003795621640339419400334008969366550445556640625	-0.9483116743032198	1.419460830643159	COL16A1;PLAGL1;P4HA3
GTEX-NL4W-0011-R2a-SM-2I5GV_brain_male_50-59_years	2/541	0.2042378099325823093135312547019566409289836883544921875	0.6725612090952035604374259492033161222934722900390625	0.196233187128643515872994385063066147267818450927734375	0.642545725887991192593062805826775729656219482421875	-0.8908516501926309	1.4150913248895807	MARCKSL1;TTYH2
GTEX-X4EP-0011-R2B-SM-3P625_brain_female_60-69_years	5/1960	0.182205282610704788481825744383968412876129150390625	0.64272232763395853449850392280495725572109222412109375	0.1675552227661445681139440466722589917480945587158203125	0.59644830651336722127098255441524088382720947265625	-0.8286382792516712	1.4108571851640583	LGALS3BP;MARCKSL1;CXCL9;TTYH2;MDK
GTEX-SIU7-1426-SM-4BRWT_stomach_male_50-59_years	2/546	0.2070816816820684469480084999304381199181079864501953125	0.67806802417820144501803270031814463436603546142578125	0.1989804806320512320372273507018689997494220733642578125	0.64775608335859791164779153405106626451015472412109375	-0.8939941390108056	1.407720688690914	LGALS3BP;TNC
GTEX-WK11-0926-SM-3NMAU_thyroid_male_50-59_years	5/2040	0.2041673101251391120314337968011386692523956298828125	0.6725612090952035604374259492033161222934722900390625	0.188222766174118094628653352629044093191623687744140625	0.6303258562923825802926103278878144919872283935546875	-0.8847301877785865	1.405673012306303	FBLN7;LGALS3BP;LRRC15;CXCL9;P4HA3
GTEX-S341-0126-SM-4AD64_adrenal gland_female_40-49_years	4/1492	0.1974300364007326169524247916342574171721935272216796875	0.664302909185461754049129012855701148509979248046875	0.184217941294269549334927660311223007738590240478515625	0.6254358917360407499330676728277467191219329833984375	-0.8611646731770829	1.397128594977942	LGALS3BP;H19;PLAGL1;SDC3
